Episode  164 finished with a total reward of -14.0 | Running Average: -12.10
Episode  165 finished with a total reward of -15.0 | Running Average: -12.20
Episode  166 finished with a total reward of -17.0 | Running Average: -12.60
Episode  167 finished with a total reward of -17.0 | Running Average: -12.90
Episode  168 finished with a total reward of -15.0 | Running Average: -13.70
Episode  169 finished with a total reward of -13.0 | Running Average: -14.10
Episode  170 finished with a total reward of -14.0 | Running Average: -14.40
Episode  171 finished with a total reward of -15.0 | Running Average: -14.30
Episode  172 finished with a total reward of -17.0 | Running Average: -14.50
Episode  173 finished with a total reward of -14.0 | Running Average: -14.80
Episode  174 finished with a total reward of -17.0 | Running Average: -15.10
Episode  175 finished with a total reward of -11.0 | Running Average: -15.40
Episode  176 finished with a total reward of -11.0 | Running Average: -15.00
Episode  177 finished with a total reward of -12.0 | Running Average: -14.40
Episode  178 finished with a total reward of -8.0 | Running Average: -13.90
Episode  179 finished with a total reward of -17.0 | Running Average: -13.20
Episode  180 finished with a total reward of -6.0 | Running Average: -13.60
Episode  181 finished with a total reward of -12.0 | Running Average: -12.80
Episode  182 finished with a total reward of -8.0 | Running Average: -12.50
Episode  183 finished with a total reward of -15.0 | Running Average: -11.60
Episode  184 finished with a total reward of -12.0 | Running Average: -11.70
Episode  185 finished with a total reward of -17.0 | Running Average: -11.20
Episode  186 finished with a total reward of -12.0 | Running Average: -11.80
Episode  187 finished with a total reward of -10.0 | Running Average: -11.90
Episode  188 finished with a total reward of -14.0 | Running Average: -11.70
Episode  189 finished with a total reward of -7.0 | Running Average: -12.30
Episode  190 finished with a total reward of -7.0 | Running Average: -11.30
Episode  191 finished with a total reward of -14.0 | Running Average: -11.40
Episode  192 finished with a total reward of -10.0 | Running Average: -11.60
Episode  193 finished with a total reward of -14.0 | Running Average: -11.80
Episode  194 finished with a total reward of -14.0 | Running Average: -11.70
Episode  195 finished with a total reward of -12.0 | Running Average: -11.90
Episode  196 finished with a total reward of -6.0 | Running Average: -11.40
Episode  197 finished with a total reward of -11.0 | Running Average: -10.80
Episode  198 finished with a total reward of -11.0 | Running Average: -10.90
Episode  199 finished with a total reward of -8.0 | Running Average: -10.60
Episode  200 finished with a total reward of -11.0 | Running Average: -10.70
Episode  201 finished with a total reward of -17.0 | Running Average: -11.10
Episode  202 finished with a total reward of -15.0 | Running Average: -11.40
Episode  203 finished with a total reward of -9.0 | Running Average: -11.90
Episode  204 finished with a total reward of -13.0 | Running Average: -11.40
Episode  205 finished with a total reward of -14.0 | Running Average: -11.30
Episode  206 finished with a total reward of -10.0 | Running Average: -11.50
Episode  207 finished with a total reward of -12.0 | Running Average: -11.90
Episode  208 finished with a total reward of -14.0 | Running Average: -12.00
Episode  209 finished with a total reward of -14.0 | Running Average: -12.30
Episode  210 finished with a total reward of -12.0 | Running Average: -12.90
Episode  211 finished with a total reward of -7.0 | Running Average: -13.00
Episode  212 finished with a total reward of -7.0 | Running Average: -12.00
Episode  213 finished with a total reward of -15.0 | Running Average: -11.20
Episode  214 finished with a total reward of -15.0 | Running Average: -11.80
Episode  215 finished with a total reward of -8.0 | Running Average: -12.00
Episode  216 finished with a total reward of -9.0 | Running Average: -11.40
Episode  217 finished with a total reward of -12.0 | Running Average: -11.30
Episode  218 finished with a total reward of -10.0 | Running Average: -11.30
Episode  219 finished with a total reward of -13.0 | Running Average: -10.90
Episode  220 finished with a total reward of -11.0 | Running Average: -10.80
Episode  221 finished with a total reward of -13.0 | Running Average: -10.70
Episode  222 finished with a total reward of -14.0 | Running Average: -11.30
Episode  223 finished with a total reward of -11.0 | Running Average: -12.00
Episode  224 finished with a total reward of -16.0 | Running Average: -11.60
Episode  225 finished with a total reward of -14.0 | Running Average: -11.70
Episode  226 finished with a total reward of -15.0 | Running Average: -12.30
Episode  227 finished with a total reward of -7.0 | Running Average: -12.90
Episode  228 finished with a total reward of -6.0 | Running Average: -12.40
Episode  229 finished with a total reward of -12.0 | Running Average: -12.00
Episode  230 finished with a total reward of -8.0 | Running Average: -11.90
Episode  231 finished with a total reward of -11.0 | Running Average: -11.60
Episode  232 finished with a total reward of -5.0 | Running Average: -11.40
Episode  233 finished with a total reward of -10.0 | Running Average: -10.50
Episode  234 finished with a total reward of -6.0 | Running Average: -10.40
Episode  235 finished with a total reward of -17.0 | Running Average: -9.40
Episode  236 finished with a total reward of -2.0 | Running Average: -9.70
Episode  237 finished with a total reward of -11.0 | Running Average: -8.40
Episode  238 finished with a total reward of -2.0 | Running Average: -8.80
Episode  239 finished with a total reward of -13.0 | Running Average: -8.40
Episode  240 finished with a total reward of -15.0 | Running Average: -8.50
Episode  241 finished with a total reward of -8.0 | Running Average: -9.20
Episode  242 finished with a total reward of -8.0 | Running Average: -8.90
Episode  243 finished with a total reward of -10.0 | Running Average: -9.20
Episode  244 finished with a total reward of -7.0 | Running Average: -9.20
Episode  245 finished with a total reward of -13.0 | Running Average: -9.30
Episode  246 finished with a total reward of -2.0 | Running Average: -8.90
Episode  247 finished with a total reward of -5.0 | Running Average: -8.90
Episode  248 finished with a total reward of -1.0 | Running Average: -8.30
Episode  249 finished with a total reward of -7.0 | Running Average: -8.20
Episode  250 finished with a total reward of -9.0 | Running Average: -7.60
Episode  251 finished with a total reward of -15.0 | Running Average: -7.00
Episode  252 finished with a total reward of -6.0 | Running Average: -7.70
Episode  253 finished with a total reward of -12.0 | Running Average: -7.50
Episode  254 finished with a total reward of -15.0 | Running Average: -7.70
Episode  255 finished with a total reward of -7.0 | Running Average: -8.50
Episode  256 finished with a total reward of -3.0 | Running Average: -7.90
Episode  257 finished with a total reward of -13.0 | Running Average: -8.00
Episode  258 finished with a total reward of -7.0 | Running Average: -8.80
Episode  259 finished with a total reward of -9.0 | Running Average: -9.40
Episode  260 finished with a total reward of -3.0 | Running Average: -9.60
Episode  261 finished with a total reward of -12.0 | Running Average: -9.00
Episode  262 finished with a total reward of -5.0 | Running Average: -8.70
Episode  263 finished with a total reward of -11.0 | Running Average: -8.60
Episode  264 finished with a total reward of -6.0 | Running Average: -8.50
Episode  265 finished with a total reward of 5.0 | Running Average: -7.60
Episode  266 finished with a total reward of -3.0 | Running Average: -6.40
Episode  267 finished with a total reward of -5.0 | Running Average: -6.40
Episode  268 finished with a total reward of -1.0 | Running Average: -5.60
Episode  269 finished with a total reward of -17.0 | Running Average: -5.00
Episode  270 finished with a total reward of 2.0 | Running Average: -5.80
Episode  271 finished with a total reward of -10.0 | Running Average: -5.30
